lambda,CH0 - loss [db/mm],CH0 - insertion loss [dB]

1534.9999999999998,0.09175,-53.96663

1535.0049999999997,-0.00214,-35.59651

1535.01,0.00589,-37.07502

1535.0149999999999,0.08816,-54.02886

1535.0199999999998,0.09161,-53.88491

1535.0249999999999,-0.01312,-32.96684

1535.0299999999997,-0.01279,-33.5489

1535.0349999999996,-0.00517,-34.68098

1535.04,-0.00928,-33.71251

1535.0449999999998,0.0047,-36.73623

1535.0499999999997,0.08523,-54.1544

1535.0549999999998,0.08918,-53.98408

1535.0599999999997,0.00393,-36.84598

1535.0649999999998,-0.00738,-34.28378

1535.07,-0.00416,-35.49438

1535.0749999999998,0.08964,-53.89777

1535.08,-0.00757,-34.17831

1535.0849999999998,-0.00656,-34.07036

1535.0899999999997,-0.0031,-35.01027

1535.0949999999998,0.01011,-37.89059

1535.1,0.09132,-53.98933

1535.1049999999998,0.0913,-53.97008

1535.11,0.00277,-36.12846

1535.1149999999998,-0.00597,-34.44833

1535.1199999999997,-0.01049,-34.09726

1535.1249999999998,-0.01378,-33.37799

1535.1299999999999,-0.00545,-34.92941

1535.1349999999998,0.02172,-40.27856

1535.1399999999999,-0.00219,-35.20009

1535.1449999999998,-0.00931,-34.12556

1535.1499999999996,-0.01136,-33.50605

1535.155,-0.00831,-34.19357

1535.1599999999999,-0.00857,-34.58668

1535.1649999999997,-0.00405,-35.55507

1535.1699999999998,-0.00574,-34.95283

1535.1749999999997,-0.0034,-35.83656

1535.1799999999998,-0.0072,-34.73861

1535.185,-0.0124,-33.63225

1535.1899999999998,0.08992,-53.95941

1535.195,-0.00689,-34.74704

1535.1999999999998,-0.01122,-33.53874

1535.2049999999997,-0.00726,-34.2238

1535.2099999999998,-0.00302,-35.08067

1535.215,-0.0074,-34.25955

1535.2199999999998,-0.00144,-36.07718

1535.225,0.09036,-53.81418

1535.2299999999998,-0.00583,-35.23571

1535.2349999999997,-0.00596,-35.29875

1535.2399999999998,0.0084,-38.16564

1535.245,-0.0018,-35.96543

