lambda,CH0 - loss [db/um],CH0 - insertion loss [dB]
1534.9999999999998,-0.08162,-33.82395
1535.0049999999997,-0.09568,-32.76173
1535.01,-0.22072,-24.51233
1535.0149999999999,-0.22055,-24.53805
1535.0199999999998,-0.22002,-24.53928
1535.0249999999999,-0.08241,-33.78603
1535.0299999999997,-0.22093,-24.52916
1535.0349999999996,-0.10036,-32.54526
1535.04,-0.08432,-33.6319
1535.0449999999998,-0.0939,-33.04043
1535.0499999999997,-0.09506,-32.97082
1535.0549999999998,-0.22062,-24.4934
1535.0599999999997,-0.22198,-24.39214
1535.0649999999998,-0.22179,-24.42211
1535.07,-0.222,-24.42039
1535.0749999999998,-0.22311,-24.38429
1535.08,-0.22048,-24.58327
1535.0849999999998,-0.0723,-34.46793
1535.0899999999997,-0.10394,-32.43797
1535.0949999999998,-0.21917,-24.76065
1535.1,-0.22068,-24.64163
1535.1049999999998,-0.22001,-24.59107
1535.11,-0.2202,-24.63775
1535.1149999999998,-0.21935,-24.72164
1535.1199999999997,-0.22037,-24.60378
1535.1249999999998,-0.21976,-24.62885
1535.1299999999999,-0.22058,-24.578
1535.1349999999998,-0.08604,-33.51271
1535.1399999999999,-0.09529,-32.85546
1535.1449999999998,-0.22012,-24.54603
1535.1499999999996,-0.22019,-24.60323
1535.155,-0.22065,-24.62903
1535.1599999999999,-0.22093,-24.58665
1535.1649999999997,-0.08335,-33.717
1535.1699999999998,-0.10101,-32.61806
1535.1749999999997,-0.22108,-24.57982
1535.1799999999998,-0.2207,-24.5502
1535.185,-0.0842,-33.80719
1535.1899999999998,-0.06801,-34.83933
1535.195,-0.22044,-24.72513
1535.1999999999998,-0.21998,-24.62713
1535.2049999999997,-0.08188,-33.86386
1535.2099999999998,-0.22274,-24.55834
1535.215,-0.22176,-24.57078
1535.2199999999998,-0.09566,-32.89416
1535.225,-0.07549,-34.2715
1535.2299999999998,-0.22013,-24.61501
1535.2349999999997,-0.22145,-24.43774
1535.2399999999998,-0.22093,-24.48244
1535.245,-0.08434,-33.53119
1535.2499999999998,-0.08197,-33.72907
1535.2549999999999,-0.09119,-33.14126
1535.2599999999998,-0.09154,-33.16661
1535.2649999999996,-0.08445,-33.6686
1535.2699999999998,-0.09035,-33.32381
1535.2749999999999,-0.06769,-34.83318
1535.28,-0.07917,-34.06558
1535.2849999999999,-0.2222,-24.53187
1535.2899999999997,-0.22165,-24.5504
1535.2949999999998,-0.09446,-33.09099
1535.3,-0.081,-34.08927
1535.3049999999998,-0.09312,-33.25648
1535.31,-0.22005,-24.7581
1535.3149999999998,-0.22114,-24.80505
1535.3199999999997,-0.22106,-24.72056
1535.3249999999998,-0.22083,-24.61814
1535.33,-0.07932,-33.99097
1535.3349999999998,-0.06969,-34.61801
1535.34,-0.08505,-33.63086
1535.3449999999998,-0.09798,-32.75402
1535.3499999999997,-0.08287,-33.80403
1535.3549999999998,-0.08626,-33.53679
1535.36,-0.09375,-33.06427
1535.3649999999998,-0.22094,-24.64724
1535.37,-0.22094,-24.51101
1535.3749999999998,-0.08478,-33.57959
1535.3799999999997,-0.22274,-24.45062
1535.3849999999998,-0.22055,-24.50904
1535.3899999999999,-0.08195,-33.86822
1535.395,-0.06842,-34.78916
1535.3999999999999,-0.06734,-34.85354
1535.4049999999997,-0.2198,-24.69158
1535.4099999999999,-0.08802,-33.54235
1535.4149999999997,-0.22112,-24.58047
1535.4199999999998,-0.22209,-24.53654
1535.425,-0.09313,-33.09149
1535.4299999999998,-0.08111,-33.89363
1535.4349999999997,-0.22094,-24.58091
1535.4399999999998,-0.22038,-24.5711
1535.4449999999997,-0.22008,-24.54631
1535.4499999999998,-0.2219,-24.55711
1535.455,-0.22287,-24.55312
1535.4599999999998,-0.22213,-24.53726
1535.4649999999997,-0.22124,-24.5362
1535.4699999999998,-0.08273,-33.79812
1535.475,-0.08008,-33.99145
1535.4799999999998,-0.08873,-33.42716
1535.485,-0.22186,-24.52373
1535.4899999999998,-0.22231,-24.58047
1535.4949999999997,-0.22123,-24.5439
1535.4999999999998,-0.09567,-32.98445
1535.5049999999999,-0.0746,-34.32491
1535.51,-0.08925,-33.35046
1535.5149999999999,-0.22144,-24.58332
