CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-57.75433711925383,-45.85148886676508,-37.63262201446679,-34.794070597628995,-46.35788974897922,-40.76523469469295,-42.17521895974902
-63.139780180013304,-45.81835793182496,-37.59994190631795,-34.82575505903356,-45.94916281729314,-40.30173682524271,-42.06522132271738
-110.0,-45.57782307313835,-37.60967683093391,-34.8535354437947,-45.947271439982515,-40.48656404331833,-42.515806717532726
-110.0,-45.96575008163745,-37.62180922079569,-34.892537259866714,-45.78554603902856,-40.59587795512117,-42.169652291687655
-110.0,-45.464041158525774,-37.6116121685702,-34.834558703826126,-45.73355725340413,-40.77984577175407,-42.169652291687655
-58.40448729000683,-45.97131660885901,-37.52483937344857,-34.825216683982916,-45.74621452872171,-40.85481747630596,-42.39810362444801
-110.0,-45.45217902890472,-37.57861416177497,-34.75266001814555,-46.1147381266172,-40.81951328740449,-42.57159792758629
-64.7322644017496,-45.45217902890472,-37.64703566326652,-34.73298252103001,-46.503081858367906,-40.761303337436,-42.288578454228876
-59.413405248379206,-45.39802670523517,-37.58690174284173,-34.819041657645904,-45.66148521974016,-40.8932182843484,-42.47899594267331
-63.03441614349845,-45.237511724907634,-37.52293143862612,-34.86080511870832,-45.77532638233998,-41.097851522648554,-42.628107474592596
-62.93931883594519,-45.41046359810031,-37.49432805629441,-34.90738375343507,-46.50221322846869,-41.05373138102317,-42.33953271222677
-110.0,-45.21760994223415,-37.411266054187784,-34.95279370511287,-46.19311250695526,-40.82944185594937,-42.169652291687655
-110.0,-45.493500529483214,-37.350789920789694,-34.88328713378107,-46.55593854244158,-40.63569746437104,-42.289421679024464
-110.0,-46.02867111050493,-37.374737396636306,-34.83483687474178,-46.088722894026276,-40.55115868451821,-42.37736239158206
-110.0,-45.749736995173805,-37.46799273115204,-34.84957618496095,-46.44579007416277,-40.51645424817784,-42.39332397939688
-110.0,-45.73355725340413,-37.4094950905159,-34.84098682736391,-46.99811338701872,-40.507016213555474,-42.61150488612775
-110.0,-45.9657500816142,-37.69051358576628,-34.95043691021153,-45.7335572536829,-40.263702808202446,-42.68155769079959
-54.775650679645636,-45.820554230905216,-37.66168950023791,-34.97296106435093,-45.73355725340413,-40.39809637730621,-42.64370646191071
-66.44526171947795,-45.927910751712034,-37.58348696303947,-35.10856182030403,-45.99348268272091,-40.34139659321753,-42.978147670571325
-110.0,-45.66698695735482,-37.49934427562155,-35.14473840866856,-45.538508014450386,-40.845736986474435,-42.72824976236507
-110.0,-45.77212145150011,-37.54321814135026,-35.14815538688449,-46.16841546482809,-40.41434014097738,-42.817940121370405
-110.0,-45.716491209992455,-37.65834342897825,-35.10829565523221,-45.86987397460652,-40.406134635881685,-42.184733588599066
-110.0,-45.45217902890472,-37.81985471075649,-35.078848882374565,-46.19002504951243,-40.32659967752033,-42.56879165992294
-110.0,-45.45217902890472,-37.91821617224083,-35.054528227417904,-45.88745012048166,-40.5592399787924,-42.43074005353832
-110.0,-45.59058973709705,-37.937101659897685,-34.97818318248239,-46.18673305908894,-40.341791904571885,-42.30216492355159
-110.0,-45.73355725340413,-37.74903846291747,-35.01667255259026,-45.67010798315917,-40.39778145438723,-42.43068457034571
-110.0,-46.05363546464477,-37.636286110317684,-34.99834090411021,-45.87538084268532,-40.48354522657611,-42.28877757344807
-59.61228055165387,-46.17668880550721,-37.607041676674065,-35.055174701543265,-46.03443666685915,-40.335351327885775,-42.04354956860807
-63.35850165373739,-45.530729919522216,-37.592448341704696,-35.14870150361493,-46.03443666685915,-40.32167677506244,-42.04354956860807
-110.0,-45.50251265388732,-37.53278505656123,-35.19106873254649,-46.03443666685915,-40.402655032513834,-42.05625072930235
-110.0,-45.73355725340413,-37.45273232812997,-35.23439684756654,-46.03443666685915,-40.57645094225448,-42.154012973143836
-110.0,-45.55913171900376,-37.574301922935156,-35.21505544386201,-46.56405497136822,-40.761303337348025,-42.07849082415119
-110.0,-45.28645829974589,-37.65665938718753,-35.090480601567634,-46.70720479594168,-40.66976041439985,-42.28073342098994
-59.06817024426789,-45.5180659100746,-37.7161847883789,-35.04771155163084,-45.893465893910815,-40.58007120130811,-42.210799363414786
-65.36508680500185,-45.73355725340413,-37.81085799523418,-34.99294423919874,-46.23868187327969,-40.576450942430725,-42.455714813171596
